20-06-17 01:36:15    Log Started
20-06-17 01:36:15 Opened /home/kader_b/int2/soldat.ini
20-06-17 02:34:43  Net - S3 ~ PoKemon connected 17-6-20 02:34:43
20-06-17 02:34:43  Net - S2 ~ BioSeaX! connected 17-6-20 02:34:43
20-06-17 02:34:45  Net - S2 ~ CracK connected 17-6-20 02:34:45
20-06-17 02:34:47  Net - S2 ~ Opazo* connected 17-6-20 02:34:47
20-06-17 02:34:48  Net - RedcL connected 17-6-20 02:34:48
20-06-17 02:34:50  Net - S2 ~ patuzhO* connected 17-6-20 02:34:50
20-06-17 02:34:58  Net - S3 ~ PoKemon disconnected 17-6-20 02:34:58
20-06-17 02:35:02  Net - S3 ~ PoKemon connected 17-6-20 02:35:02
20-06-17 02:35:02  Net - S2 ~ DeFkOndOz* connected 17-6-20 02:35:02
20-06-17 02:35:30  Net - W3.- connected 17-6-20 02:35:30
20-06-17 02:35:32  Net - W3.- disconnected 17-6-20 02:35:32
20-06-17 02:35:53  Net - S2 ~ patuzhO* connected 17-6-20 02:35:53
20-06-17 02:35:55  Net - S2 ~ patuzhO* disconnected 17-6-20 02:35:55
20-06-17 02:36:00  Net - S2 ~ patuzhO* connected 17-6-20 02:36:00
20-06-17 02:36:47  Net - S2 ~ patuzhO* connected 17-6-20 02:36:47
20-06-17 02:36:52  Net - S2 ~ Opazo* connected 17-6-20 02:36:52
20-06-17 02:36:56  Net - S2 ~ AsteK connected 17-6-20 02:36:56
20-06-17 02:37:00  Net - S3 ~Violet* connected 17-6-20 02:37:00
20-06-17 02:37:48  Net - S2 ~ CracK connected 17-6-20 02:37:48
20-06-17 02:37:56  Net - S3 ~Violet* connected 17-6-20 02:37:56
20-06-17 02:40:07  Net - S3 ~ PoKemon connected 17-6-20 02:40:07
20-06-17 02:40:08  Net - S2 ~ DeFkOndOz* connected 17-6-20 02:40:08
20-06-17 02:40:08  Net - S2 ~ BioSeaX! connected 17-6-20 02:40:08
20-06-17 02:40:11  Net - RedcL connected 17-6-20 02:40:11
20-06-17 02:42:29  Net - S2 ~ Opazo* connected 17-6-20 02:42:29
20-06-17 02:42:31  Net - S2 ~ CracK connected 17-6-20 02:42:31
20-06-17 02:42:33  Net - S2 ~ patuzhO* connected 17-6-20 02:42:33
20-06-17 02:42:34  Net - S2 ~ AsteK connected 17-6-20 02:42:34
